官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: nla_memcpy 0xf1db1704
qca_cld3_wlan: __nla_parse 0x984ce9bd
qca_cld3_wlan: scnprintf 0x96848186
qca_cld3_wlan: __cfg80211_alloc_reply_skb 0x2f4d7415
qca_cld3_wlan: cfg80211_vendor_cmd_reply 0xb685677a
qca_cld3_wlan: __cfg80211_send_event_skb 0x1b6df554
qca_cld3_wlan: __cfg80211_alloc_event_skb 0x4822b67a
qca_cld3_wlan: cfg80211_update_owe_info_event 0xf2815168
qca_cld3_wlan: __mutex_init 0x977f511b
qca_cld3_wlan: cfg80211_gtk_rekey_notify 0x9e9a5aa4
qca_cld3_wlan: cfg80211_disconnected 0x2585db81
qca_cld3_wlan: cfg80211_pmksa_candidate_notify 0x1b6596ca
qca_cld3_wlan: wiphy_register 0x468684d6
qca_cld3_wlan: mutex_unlock 0x409bcb62
qca_cld3_wlan: mutex_lock 0x2ab7989d
qca_cld3_wlan: kfree_skb 0xe368ace8
qca_cld3_wlan: nla_put 0x9ad84277
qca_cld3_wlan: skb_put 0x266d3745
qca_cld3_wlan: strchr 0x349cba85
qca_cld3_wlan: strcmp 0xe2d5255a
qca_cld3_wlan: hex2bin 0x2edbeaf7
qca_cld3_wlan: firmware_request_nowarn 0x47fa2be5
qca_cld3_wlan: sscanf 0xbcab6ee6
qca_cld3_wlan: release_firmware 0xa686f043
qca_cld3_wlan: strnchr 0x4841bdee
qca_cld3_wlan: strlen 0x98cf60b3
qca_cld3_wlan: jiffies 0x15ba50a6
qca_cld3_wlan: bcmp 0x263c3152
qca_cld3_wlan: cfg80211_external_auth_request 0x559bf608
qca_cld3_wlan: cfg80211_rx_unprot_mlme_mgmt 0xf374f673
qca_cld3_wlan: cfg80211_ft_event 0xb82bad43
qca_cld3_wlan: cfg80211_michael_mic_failure 0xc44e6b9a
qca_cld3_wlan: cfg80211_roamed 0xc0269f38
qca_cld3_wlan: ieee80211_get_channel_khz 0xac4a21b5
